url,label
sbnation.com/mlb/players/161/jermaine-dye,good
remnantofgod.org/qky-arc.htm,good
neilnet.com/,good
stuffaboutnames.com/theodore/index.htm,good
actuaries.is/goods/ozor/ii.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@sethnessgreenleaf.com&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,bad
usatoday.com/community/tags/topic.aspx?req=tag&tag=Universal%20Pictures,good
emusic.com/artist/Mac-Dre-MP3-Download/11571805.html,good
gettelnetwork.com/PDF/PDF-ad0be/b1e857342c29f3ac0c02299ff49362a6/,bad
croonet.com/start/P_MjQwNTkwMQ%3D%3D/,good
seal-technicsag.ch/index.zip,bad
wc.rootsweb.ancestry.com/cgi-bin/igm.cgi?op=REG&db=vendingace&id=I12375,good
locatetv.com/listings/wkbd-cw,good
racksandstands.com/Prepac-Slim-Media-Tower-Black-BMA-0160-PRP1151.html,good
racepages.com/parts/tie_rod_end/mg/midget.html,good
realtubemovies.com/,good
facebook.com/pages/Godspeed-You-Black-Emperor/112503188761844,good
evri.com/person/royal-barry-wills-0x7a72f,good
omacsrl.xyz,bad
nbebasketball.com/w3/2011-0831/2011-12-big-east-conference-composite-men%e2%80%99s-basketball-conference-schedule/,good
www.vrsa-sgu.pt/plugins/adm/index.php?m=login,bad
withfriendship.com/user/mithunss/lucas-till.php,good
smnnews.com/2011/10/22/saviours-ramming-speed-december-tour-announced/,good
cic.gc.ca/english/resources/publications/legacy/chap-5b.asp,good
hourdetroit.com/Hour-Detroit/October-2009/Stars-Guitars-at-Dearborn-039s-Ford-Community-and-Performing-Arts-Center/,good
mirkacejkova.cz/libraries/joomla/event,bad
fondation-sainte-justine.org/History,good
cheftalk.com/t/36349/cat-cora-restaurant,good
youtube.com/watch?v=4_FyqfEM3jY,good
people.famouswhy.com/brad_gilbert/,good
muchcocaugh.com/sl/gate.php,bad
jango.com/music/Simple+Plan?l=0,good
indigoclubs.com/wp-content/plugins/formcraft/file-upload/server/php/files/wfnou/,bad
youtube.com/watch?v=0SDICvjD1yA,good
portal.progressiverocks.com/nahp/artic-fi/wiki_M,good
portlandtimbersupporters.blogspot.com/,good
conniejohnsoninsurance.com/,good
ontheradio.net/wvnv,good
wordfest09.wordpress.com/,good
bioskopterbaru.com/movie-search/drama-movie/somewhere.html,good
sportsillustrated.cnn.com/vault/article/magazine/MAG1124433/index.htm,good
facebook.com/dale.eldred,good
realestatevine.ca/homes/quebec/laval/duvernay-pont-viau,good
greatesthockeylegends.com/2007/09/photo-essay-team-canada-jersey-history.html,good
secure.guzzo.ca/inscription/?lang=en,good
fanbase.com/MLB,good
catholic-hierarchy.org/diocese/doakl.html,good
worthpoint.com/worthopedia/willie-davis-autographed-baseball-los-angeles,good
amazon.com/Peter-Nortons-Inside-PC-Eighth/dp/0672315327,good
icc-cricket.yahoo.net/events_and_awards/champions_trophy/index.php,good
saddleupbins.ca/wp-content/plugins/revslider/backup,bad
smartcanucks.ca/tag/dollarama/,good
dance.lovetoknow.com/Olga_San_Juan,good
lewindsor.com/index2.html,good
aldhizer.com/genealogy/family_directory/WC_IDX/IDX001.htm,good
03.ibm.com/press/us/en/pressrelease/33365.wss,good
penztargepberles.hu/erae/bmindex.php?activate-portalarea&amp;USERaf2c8fac804d89c978ef0de59b0ac5f7,bad
rootsweb.ancestry.com/~ussnei/Obit9.htm,good
roomscometrue.com/products/,good
coconutisland75.com/js/app-local/service/ac02d6c124413fc28f5d4f3a7089c55d/moncompte/,bad
blogs.mcgill.ca/library/,good
vanityfair.com/online/daily/2010/10/exclusive-prince-charles-discusses-the-environment-the-monarchy-his-sons-camilla-his-book-and-islam,good
en.wikipedia.org/wiki/G%C3%A9nies_en_herbe,good
letrs.indiana.edu/cgi/t/text/text-idx?c=wright2;cc=wright2;view=text;rgn=main;idno=wright2-2488,good
absoluteastronomy.com/topics/1988_Notre_Dame_Fighting_Irish_football_team,good
randombaseballstuff.com/2011/11/09/1962-met-bobby-gene-smith-autograph-appearance/,good
sup.org/book.cgi?book_id=5375%205376,good
encycl.opentopia.com/term/KKSF,good
ow.ly/4nlNKr,bad
mountbladewarband.weebly.com/,good
hollywood.com/celebrity/197519/Betty_Grable,good
en.wikipedia.org/wiki/C.D._Howe_Institute,good
bubbleonlineshop.com/yjf6upa,bad
answers.com/topic/marlon-riggs,good
cornwallcare.com/,good
myspace.com/davidbrubeck,good
l5-paypal-it.skroc.pl/,bad
three.kjghkjdfjhdc.biz/gsd585dl1g\nwww.lavoro24.it/milano/addetto_customer_service-61123.html?utm_source=Indeed&utm_medium=cpc&utm_campaign=Indeed,bad
bookpublishingnews.blogspot.com/2007_09_01_archive.html,good
pidfzykp.rhwdrilwwulvpx.tk:41050/1972/06/14/wear/suit-farewell-excellent-rain.html,bad
slavicvillagehistory.org/Newburgh_history.htm,good
shik-galichina.com/plugins/content/up/redir.php,bad
pipl.com/directory/people/Julie/Payette,good
visit-tracker.com/?VFJDS0FEPTI5MDg3,good
olivetreegenealogy.com/ships/ny_alms1819.shtml,good
nucingulf.com/1i0me28h,bad
